,Features,MaxEV,Gini,Coefficients
0,READM-30-COPD-HRRP,0.1808451469581862,0.010275685122878304,-0.02939840199733735
1,READM-30-HF-HRRP,0.19360821505949205,0.00891363914807318,-0.10863952689270708
2,READM-30-PN-HRRP,0.20064815181092116,0.012737583310032245,-0.03767473355395221
3,Heart failure (HF) 30-Day Readmission Rate,0.19831970953152503,0.1495609067075255,0.3728315985429898
4,Hospital return days for heart failure patients,0.14882954460287273,0.01418680107896433,0.027434701387844377
5,Hospital return days for pneumonia patients,0.17895419680736543,0.029961763384025585,0.03976779531778006
6,Pneumonia (PN) 30-Day Readmission Rate,0.20971366366487995,0.05914359667590281,0.21670625630606766
7,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0.19000960220314178,0.02310973329914354,0.1520722292540672
8,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,0.23755967681737608,0.00723480193236513,0.030612703055136522
9,Serious complications,0.1956170867146476,0.008007632594510986,0.03698592601397493
10,Hospital overall rating,0.20454170148990566,0.012547199054004862,-0.10756569723834791
11,Readmission national comparison Above Average,0.19993306226431498,0.01567098754854167,-0.07562787917132274
12,Readmission national comparison Below Average,0.19423589080970757,0.28816984587698696,0.09386789727681355
